"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"07/29/2023","45","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","15","32","18","45","20"
"07/30/2023","41","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","17","37","26","41","22"
"07/31/2023","101","Ozone","Anoka County Airport","27-003-1002","AQS","35","101","28","60","25"
"08/01/2023","58","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","35","50","31","58","18"
"08/02/2023","90","Ozone","Anoka County Airport","27-003-1002","AQS","34","90","37","52","27"
"08/03/2023","67","Ozone","St. Michael Elementary School","27-171-3201","AQS","8","67","29","48","27"
"08/04/2023","93","Ozone","B.F. Pearson School","27-139-0505","AQS","9","93","27","59","24"
"08/05/2023","81","PM2.5","Apple Valley","27-037-0470","AQS","14","58","41","81","11"
"08/06/2023","66","PM2.5","Apple Valley","27-037-0470","AQS","16","40","22","66","17"
"08/07/2023","66","PM2.5","Apple Valley","27-037-0470","AQS","28","45","29","66","17"
"08/08/2023","77","PM2.5","Apple Valley","27-037-0470","AQS","8","50","35","77","25"
"08/09/2023","76","PM2.5","Apple Valley","27-037-0470","AQS","7","50","31","76","25"
"08/10/2023","45","Ozone","B.F. Pearson School","27-139-0505","AQS","27","45","44","43","25"
"08/11/2023","45","Ozone","Anoka County Airport","27-003-1002","AQS","32","45","11","22","21"
"08/12/2023","35","Ozone","Anoka County Airport","27-003-1002","AQS","9","35","18","20","12"
"08/13/2023","28","PM2.5","Harding High School","27-123-0871","AQS","7","28","11","28","13"
"08/14/2023","29","Ozone","Mille Lacs Band","27-095-3051","AQS","10","29","13","23","21"
"08/15/2023","34","Ozone","Mille Lacs Band","27-095-3051","AQS","7","34","17","24","18"
"08/16/2023","68","PM10","Pacific Street","27-053-0910","AQS","5","44","68","30","10"
"08/17/2023","61","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","9","35","29","61","15"
"08/18/2023","105","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","20","46","54","105","22"
"08/19/2023","56","PM2.5","Apple Valley","27-037-0470","AQS","14","51","34","56","21"
"08/20/2023","70","PM2.5","Apple Valley","27-037-0470","AQS","8","34","29","70","13"
"08/21/2023","70","PM2.5","B.F. Pearson School","27-139-0505","AQS","7","34","32","70","13"
"08/22/2023","68","PM2.5","Apple Valley","27-037-0470","AQS","6","49","54","68","12"
"08/23/2023","63","PM2.5","B.F. Pearson School","27-139-0505","AQS","8","46","48","63","16"
"08/24/2023","54","PM2.5","Apple Valley","27-037-0470","AQS","8","41","28","54","15"
"08/25/2023","43","Ozone","Anoka County Airport","27-003-1002","AQS","10","43","20","41","19"
"08/26/2023","29","PM2.5","Apple Valley","27-037-0470","AQS","14","28","10","29","10"
"08/27/2023","53","PM2.5","Andersen School","27-053-0963","AQS","10","38","18","53","23"
