ID, lat, long
900000001, 43.000000, -75.000000
900000002, 34.059761, -118.276802
900000003, 41.739685, -87.554420
900000004, 29.740700, -95.463600
900000005, 33.481136, -112.074036
900000006, 39.998089, -75.134109
900000007, 29.387428, -98.496574
900000008, 32.715736, -117.161087
900000009, 32.779167, -96.808891
900000010, 37.279518, -121.867905
