"tract_fips","time_frame","PPOPWOINS","PPOPWINSPRIV","PPOPWINSPUB","PPOPWEMPINS","PPOPWMEDICARE","PPOPWMEDICAID"
"32003003240","2017-2021","8.77","72.18","28.67","62.08","11.52","17.36"
"32003003241","2017-2021","5.61","71.39","36.06","62.93","19.10","16.59"
"32003003242","2017-2021","2.49","88.14","18.73","71.74","13.70","4.71"
"32003003243","2017-2021","9.35","75.25","27.95","57.14","12.47","15.70"
"32003003244","2017-2021","4.30","77.74","24.90","65.65","16.23","11.69"
"32003003245","2017-2021","13.13","66.48","28.55","53.68","12.10","12.49"
"32003003246","2017-2021","6.70","74.60","32.29","67.30","20.61","11.64"
"32003003247","2017-2021","5.04","70.62","45.21","54.76","33.21","11.69"
"32003003248","2017-2021","7.38","62.77","39.00","46.40","15.65","22.10"
"32003003249","2017-2021","5.43","82.75","20.98","63.58","15.33","6.24"
"32003003250","2017-2021","3.61","80.31","27.94","67.93","16.85","11.21"
"32003003251","2017-2021","6.53","86.23","19.54","71.58","14.82","2.91"
"32003003252","2017-2021","12.03","73.33","28.96","45.64","17.91","11.76"
"32003003253","2017-2021","9.28","56.31","42.17","42.88","15.56","28.21"
"32003003254","2017-2021","12.52","55.78","40.58","44.62","28.82","14.27"
"32003003260","2017-2021","7.45","52.65","53.65","37.21","24.87","34.35"
"32003003261","2017-2021","17.55","64.26","29.76","58.11","19.57","12.39"
"32003003262","2017-2021",".74","53.68","88.04","33.86","84.56","5.11"
"32003003263","2017-2021","6.53","80.32","21.09","63.00","10.65","8.06"
"32003003264","2017-2021","10.00","76.97","19.01","64.50","11.22","6.74"
"32003003265","2017-2021","1.67","83.77","22.09","69.48","11.76","11.04"
"32003003266","2017-2021","7.65","74.42","23.18","64.75","7.70","15.22"
"32003003267","2017-2021","3.65","77.11","31.12","60.56","15.30","14.22"
"32003003268","2017-2021","7.24","85.10","17.82","65.89","16.29","3.58"
"32003003269","2017-2021","5.07","71.74","28.73","45.28","21.95","8.06"
"32003003270","2017-2021","6.79","78.81","18.60","67.67","5.71","9.96"
"32003003303","2017-2021","10.19","73.81","25.02","65.94","9.02","14.76"
"32003003305","2017-2021","5.22","72.01","32.05","64.19","19.85","13.75"
"32003003306","2017-2021","3.70","73.84","46.45","57.32","35.17","9.70"
"32003003307","2017-2021","2.64","76.03","37.31","67.52","18.10","20.00"
"32003003308","2017-2021","6.73","74.54","34.52","58.03","25.50","11.62"
"32003003309","2017-2021","4.83","73.87","38.32","58.70","31.99","6.87"
"32003003311","2017-2021","3.00","88.35","21.22","75.31","15.15","4.19"
"32003003312","2017-2021",".38","91.55","15.17","82.53","11.05","4.92"
"32003003313","2017-2021","7.02","72.75","28.95","50.07","5.89","20.77"
"32003003314","2017-2021","2.18","82.69","22.91","69.87","16.86","6.51"
"32003003315","2017-2021","6.74","75.37","29.66","68.55","14.95","15.87"
"32003003316","2017-2021","1.51","89.40","16.90","73.74","9.46","7.84"
"32003003317","2017-2021","10.45","72.54","25.11","62.62","5.51","17.78"
"32003003318","2017-2021","8.78","76.87","27.08","62.39","13.06","14.22"
"32003003319","2017-2021","5.81","79.91","24.15","71.52","11.88","12.56"
"32003003320","2017-2021","4.58","73.53","29.08","64.11","10.34","19.25"
"32003003321","2017-2021","3.79","84.01","28.18","58.72","21.69","6.03"
"32003003322","2017-2021","7.70","72.72","35.19","55.36","21.64","11.67"
"32003003323","2017-2021","5.92","82.94","24.95","66.52","16.42","7.26"
"32003003408","2017-2021","8.36","67.94","37.63","57.03","16.62","19.89"
"32003003409","2017-2021","18.75","53.27","37.38","46.62","11.31","26.33"
"32003003410","2017-2021","7.36","64.38","40.13","57.10","21.68","19.82"
"32003003411","2017-2021","9.45","70.02","31.93","58.91","13.61","16.52"
"32003003412","2017-2021","18.56","57.13","34.85","49.20","17.45","18.11"
"32003003413","2017-2021","11.47","53.54","44.00","36.41","20.45","25.58"
"32003003414","2017-2021","10.73","66.12","31.59","47.12","18.07","14.12"
"32003003415","2017-2021","10.40","60.05","38.42","52.09","8.87","30.78"
"32003003416","2017-2021","21.40","60.29","25.96","51.73","14.78","12.21"
"32003003418","2017-2021","21.35","51.52","41.92","44.46","11.22","29.88"
"32003003419","2017-2021","11.53","53.26","43.45","42.57","12.24","33.05"
"32003003420","2017-2021","24.61","53.99","25.40","46.61","11.44","17.85"
"32003003421","2017-2021","12.80","66.30","34.04","56.24","13.92","22.41"
"32003003422","2017-2021","14.17","52.92","46.52","47.12","15.43","32.46"
"32003003423","2017-2021","20.05","48.00","39.61","44.87","10.90","32.17"
"32003003426","2017-2021","9.95","56.53","49.21","41.46","24.42","27.79"
"32003003427","2017-2021","9.49","53.90","46.67","51.71","10.76","37.14"
"32003003428","2017-2021","20.54","46.04","44.10","41.53","15.74","32.06"
"32003003429","2017-2021","19.36","39.10","48.94","36.32","12.32","38.53"
"32003003430","2017-2021","14.48","48.39","51.32","40.52","19.79","31.96"
"32003003431","2017-2021","16.69","43.25","50.54","39.20","14.98","39.26"
"32003003500","2017-2021","23.62","30.46","52.28","25.90","14.36","44.10"
"32003003609","2017-2021","13.01","67.34","35.37","57.93","15.74","20.85"
"32003003610","2017-2021","16.28","68.45","28.40","59.85","15.50","13.82"
"32003003613","2017-2021","13.76","58.22","38.10","51.83","12.35","26.71"
"32003003615","2017-2021","11.29","62.07","36.76","54.42","10.91","25.16"
"32003003616","2017-2021","14.19","57.46","37.14","50.98","17.16","24.94"
"32003003617","2017-2021","20.14","51.19","35.86","45.66","17.93","22.25"
"32003003619","2017-2021","6.88","78.97","22.88","61.53","10.88","13.07"
"32003003620","2017-2021","3.59","77.33","30.38","60.00","13.39","15.51"
"32003003621","2017-2021","2.05","52.58","85.05","26.82","83.99","6.29"
"32003003626","2017-2021","11.46","73.91","26.25","65.24","11.07","15.29"
"32003003627","2017-2021","7.61","62.99","39.49","48.00","16.27","24.79"
"32003003630","2017-2021","10.44","70.31","26.37","64.34","15.08","11.04"
"32003003631","2017-2021","5.13","73.00","35.85","57.59","15.43","21.29"
"32003003632","2017-2021","4.11","78.01","29.52","70.15","16.14","10.65"
"32003003633","2017-2021","7.52","64.37","39.47","53.45","15.86","24.35"
"32003003634","2017-2021","5.76","62.00","44.78","50.29","16.67","24.56"
"32003003635","2017-2021","7.96","64.69","33.40","53.57","12.40","20.78"
"32003003636","2017-2021","22.15","52.62","33.37","43.47","14.77","20.20"
"32003003637","2017-2021","11.80","74.28","20.79","61.38","9.75","13.30"
"32003003638","2017-2021","9.23","73.84","29.73","57.83","10.75","17.40"
